,Company,Description,JobTitle,JobUrl,Location,Salary,Summary
41,"Two Sigma Investments, LLC.","Two Sigma is a different kind of investment manager. Since 2001, we have used data science and technology to derive insights that forecast the future and discover value in markets worldwide. Our team of scientists, technologists and academics looks beyond traditional finance to understand the bigger picture and develop creative solutions to some of the world’s most difficult economic problems. Our work spans markets and industries, from insurance and securities to private investments and new ventures.
This role will be an integral part of the team to develop our data science and analytics capabilities in Asia. Under the guidance and advice of our NY team, this role will play a pivotal role in on-the-ground execution of our work in marketing analytics and insight from data exploration, model building, performance evaluation and testing for insurance or other clients in the region.
You will take on the following responsibilities:
Apply analytical rigor and advanced statistical techniques to analyze 1st and 3rd party data for insurance or other client(s) for marketing analytics and insight
Identify and assess the effectiveness of new 3rd party data sources and data gathering techniques
Analyze gaps and define improvement plan in 1st party data collected by insurance or other client(s)
Develops and/or uses algorithms and statistical predictive models to derive insight on target audience’s demographics and behavioral attributes to increase and optimize conversion
Develop processes and tools to monitor and analyze model performance and data accuracy
Develop metrics/dashboards with insurance or other client(s) to track end-to-end conversion funnel for optimized investments
Support insurance or other client(s) to develop end-to-end strategy and execution for paid social, paid search, and other programmatic channels
Support strategy development for building up TS’ data science capabilities in insurance or other fields in the region
Partner with Two Sigma’s global offices on projects and initiatives
You should posses the following qualifications:
Bachelor’s degree from a top tier University, Master’s degree preferred – majors in engineering, computer science, data science, mathematics, or related scientific disciplines preferred;
5+ years post-Bachelor experience in marketing analytics or related field
Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets
Knowledge of a variety of machine learning, advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Experience in analyzing data from 3rd party providers: Google Analytics, Facebook Insights, etc.
Experience with distributed data/computing tools and data visualization / dashboard tools
Excellent analytical and problem-solving skills
Excellent written and verbal communication and collaboration skills for coordinating across teams internally as well as with with insurance or other client(s)
A demonstrated passion for technology, financial services and investment managementFluency in English and at least one Asian language (preferably, Mandarin Chinese)
You will enjoy the following benefits:
Core Benefits: Fully paid medical and dental insurance premiums for employees and dependents, MPF employer contribution, employer-paid life & disability insurance
Learning: Tuition reimbursement, conference and training sponsorship
Time Off: Generous vacation and unlimited sick days, paid caregiver leaves
We are proud to be an equal opportunity workplace. We do not discriminate based upon race, religion, color, national origin, sex, sexual orientation, gender identity/expression, age, status as a protected veteran, status as an individual with a disability, or any other applicable legally protected characteristics.","Data Scientist, Marketing Analytics and Insights",https://hk.indeed.com/rc/clk?jk=ea70fd6a2b1655dc&fccid=facc18fe475dac15&vjs=3,Hong Kong Island,,"To manipulate data and draw insights from large data sets.
Identify and assess the effectiveness of new 3rd party data sources and data gathering techniques."
42,SmartBLKTrade Limited (SBT),"Responsibilities：

Be an integral part of the AI team to define problem, R&D of algo, literature, and programming language for the design and build solutions.
Work closely with CTO / Chief AI Officer / Chief R&D Director to create architectural solutions.
Lead the data mining, analysis, visualization, warehousing and delivery of projects and products, as well as ensure the availability and intact of data.
Contribute to continuous improvement on performance and deploy effective analysis and enhancement mechanism
Take the lead to productionalizing machine learning models
State updated in current and leading technology and applications.

Requirement:

PhD degree in Computer Science, Applied Mathematics, Mathematics, Statistics, Operations Research, Physics, Engineering, Astronomy or IT related or related disciplines.
Extensive research experience in one of the following fields: AI algorithm, statistics, optimisation, Deep Learning, Natural Language Processing and / or Facial Recognition.
Excellent capability of implementing algorithms from papers to programs, tailored to particular business needs and tested on large dataset.
strong self-learning ability, and strong interest in machine learning in the industry
Solid mathematical foundation and machine learning algorithm skills, proficient in common data structures and algorithms
Statistical modelling and machine learning analysis preferably dealing with large- and small-scale data in industries like Financial, Education, Medical or Smart City industry with customer-driven data.
Familiar with machine learning framework (such as: Pytorch, TensorFlow, Numpy, Pandas, Scikit-Learn, Keras, etc.)
Familiar with neural network theory, familiar with CNN \ RNN \ LSTM principle
Familiar with big data processing related technology, include but not limited to Elasticsearch, Hadoop, Spark or Apache Arrow
Familiar with at least one of the following programming languages: C, C++, Java, Go, with one year or more of software project development experience
Proficient in either Python, R or Javascript. Ruby or Scala is also acceptable.
SQL, SAS, or other database tools for data mining
Understand the design ideas and solutions of basic algorithms for machine learning, familiar with time series processing, familiar with common algorithms for machine learning: decision trees, random forests, collaborative filtering, SVM, regression algorithms, etc.
Experience in protoyping and productionalizing advance machine learning / AI solutions in business
Experienced to develop Machine Learning models into Restful API is an advantage..
Experienced with Cloud native services on Alicloud, Google Cloud or AWS is an advantage.
Good communication skills in English, Cantonese and Mandarin a plus
Experience with Block-chain or consensus algorithm or cyber security is an advantage.
Graduated from top 100 university according to QS, Times Higher Education World University Rankings or Shanghai Jiao Tong University (Academic Ranking of World Universities)
Published paper in well-recognized conference / journal is an advantage
Fresh graduates are also welcomed but will start on a junior rank.
Candidates with more experience will be considered for senior role
Open to sponsoring visas for technically strong candidates from Overseas

Interested parties, please apply together with a detailed resume, stating current and expected salary, and send it via job@smartblktrade.com APPLY. Attractive remuneration will be offered in commensurate with qualifications and experience.

All personal information received will be treated in strict confidence for employment purpose only. Your application can be considered as unsuccessful if you have not been reached within 3 months.

On the other hand, it may be transferred to other companies of our group for job openings. Unsuccessful applications will be destroyed for a period not more than 12 months
Summary
Industry:
Trading
Job Category / Function:
IT (Systems / Technical Support)
IT (Network & System)
IT (Software / Web Developer)
IT (System Engineer / Network Engineer)
Fresh Graduate (Fresh Graduate)
Job Position Level:
General
Employment Term:
Full Time
Min. Edu. Level Req:
Bachelor
Total Working Exp:
-
Salary(HKD):
-
Benefits:
-",Director of AI Dept / Research Data Scientist / AI Engineer,https://hk.indeed.com/rc/clk?jk=700c48349e13f358&fccid=c3a36d078381b675&vjs=3,Hong Kong,,"IT (System Engineer / Network Engineer).
Statistical modelling and machine learning analysis preferably dealing with large- and small-scale data in industries…"
43,Société Générale,"Responsibilities

Missions:

Developing responsible and innovative financial solutions through the use of data and technology


As a data analyst / data scientist you will coordinate with a wide range of business stakeholders and operational teams to implement data driven solutions aiming at answering a business need in order to develop new business opportunities, to improve the quality and/or efficiency of an existing businesses or activity, or to reduce their risks.

During your assignment you will be responsible to:
Work with the business teams and sponsor to translate their business needs into data objectives
Identify the internal or external data sources / datasets relevant to answer those objectives
Do exploratory data analysis to identify patterns, trends and discover insights in order to refine the objectives
Prepare the datasets to be used in the analysis based on the original datasets
Implement the appropriate solution (BI dashboard, machine learning model) to answer the objectives
Share the results back with business experts and present them to the sponsor and stakeholders
Propose improvements to the business based on the interpretations of those results
Profile Required

Profile

Academic Background and Certifications, Experience:
A degree in the following subject is required:
Data ScienceMathematics, Statistics or EconomicsComputer Science or Information Systems
Recent Graduate with Bachelor, Master or above in Computer Science, Information Systems, Data Science, Mathematics, Statistics or related disciplines
Not more than 12 months of working experience within financial industries
Qualification:
Experience in manipulating large dataset from database, data warehouse or data lake (Azure or AWS datalike preferred)
Experience with statistical analyses tools (e.g., Python, R) or similar analytically oriented programming languages
Knowledge of Business Intelligence solutions (such as MS PowerBI, Tableau, Tibco SpotFire) will be a strong plus
Experience in the implementation of Artificial Intelligence / Machine Learning algorithms and the intrinsic difference of the different algorithms available to propose the best model for the problem faced (anomaly detection, predictive model, ...)
Behavioral Skills:
Compulsory - Ability to cooperate
Compulsory - Results oriented
Compulsory - Thinking out of box
Important - Open mindset
Important - Simplification mindset
Important - Willing to learn and develop skills
Other behavioral skills
Analytical and problem-solving mindset
Attention to details
Good level of written and verbal communication in English
Business Insight

Company Description


Societe Generale is one of the leading European financial services groups. Founded in 1864, we have been playing a vital role in the economy for over 150 years. With more than 148,000 employees based in 76 countries worldwide, we accompany 32 million clients throughout the world on a daily basis. Based on a diversified universal banking model, the Group combines financial strength with a strategy of sustainable growth.

Our expertise in the Asia Pacific region ranges from Corporate & Investment Banking (Advisory, Financing and Global Markets) to Asset Management, Securities Services, Trade Finance and Cash Management Services. Leveraging on our formidable global footprint, we serve corporates, financial institutions and the public sector. With our regional headquarters in Hong Kong, we operate in 11 countries across Asia Pacific, employing over 6,600 employees. You can find us in Beijing, Seoul, Tokyo, Singapore, Mumbai, Sydney and other locations in the region.

At Societe Generale we have developed – and continue to develop – advanced programmes to support your career development. A diverse and comprehensive Learning & Development programme, a Junior programme for graduates and a Remuneration policy that stimulates your growth are just a few examples that illustrate how we help you to fulfill yourself personally and professionally, and how we develop your ability to adapt to ever-changing environments and transform challenges into opportunities.

Department Description


Societe Generale Corporate and Investment Bank in Asia is investing in its digital capabilities and data to boost its business development. You will be part of those initiatives under the sponsorship of senior managers of the bank
We are an equal opportunities employer and we are proud to make diversity a strength for our company. Societe Generale is committed to recognizing and promoting all talents, regardless of their beliefs, age, disability, parental status, ethnic origin, nationality, sexual or gender identity, sexual orientation, membership of a political, religious, trade union or minority organisation, or any other characteristic that could be subject to discrimination.
Job code: 20000DFA
Business unit: Societe Generale Hong Kong Branch
Starting date: Immediate
Date of publication: 06/08/2020",Data Scientist,https://hk.indeed.com/rc/clk?jk=90025f0816eda10f&fccid=df6948c9b8da6236&vjs=3,Hong Kong,,"Do exploratory data analysis to identify patterns, trends and discover insights in order to refine the objectives.
Computer Science or Information Systems."
44,HelloToby Technology (HK) Ltd.,"About the CompanyToby is Hong Kong's leading local services marketplace that helps user discover and book from 800 service categories with confidence and ease. We aspire to delight people's lives with exceptional services whether it's helping families improve their home, brides plan their wedding or anyone learn a new language. Since inception, we've helped 500,000 users find and book services by connecting them with 25,000 top-rated and hard-working service professionals. We are customer-obsessed and are constantly trying to improve the hiring experience and service qualities on Toby. In addition to our HQ in Hong Kong, Toby also operates in Taiwan and Singapore. Join our growing team in the quest to build the most customer-friendly platform to hire services!Key Responsibility· Implement product setup and changes for multiple business teams· Oversee quality assurance checks on new features· Analysis user data and provide insights for product and operation optimization;· working closely with development team to improve product features and enhance user experience· Work closely with support and sales to improve the customer experience· Facilitate user interviews and other market researchA suitable candidate should· Higher diploma or above (fresh grad welcome)· Highly attention to details· Practical experience in Digital or IT related field preferred· User-oriented and being focus on customer experience,· Passionate in learning new things and adaptive to change· Strong execution capability and able to work under pressureWhat we can offerWe offer 5-day week,15 days annual leave, birthday leave, bank holidays, medical insurance (inclusive of dental care). We also hold regular lunch gathering, festive party for our staff. We are a FUN, YOUNG and ENERGETIC team with good learning and career development opportunities. Come join and excel with us!Job Type: Full-time",Operation Associate – Products,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A9GXA8oF-AjkbWlCZnmOCZikVjB2K-cv_Mp5vJ6Z7lNxHzEc-vn4hOjkekO7gnp373SmjeJo1ilqtNNEWUGjy8ka5OFXqn8YvDu-1nMHoWnejMYvViWAda7RC9vwIbTmUppK9MBH-6HqLp2gCEqBgFtqpCDC799IoEnbpfKkQBTaA3rKSeyDd5Sj3826SMqm8kP-IHOZyeOlCarsVfFBtLocssz7sZnS-Z6VSiUaVoVWxn0J3rP794uKmlPxaJa0CSQ8V9kNXDQAoYxh_iwxHeV5mdW2vDh7f5cYX3buZsxmI-QSJ28UxVIGzthD1Inp9vGDDt8ku-X6LkFtEKBlwC-2zUEvCySfIS-qiNvzQdBjZue-Q6u0hAwwlmDROxQimUQt0Na2OKlylmQnqEZhCp5DZ2BVS8VB7Pq-n8Dm7K3t_6WSiVdNf4nz6dgetRFvoS0ZqFAi2QXU9OdW8X4L4rfcirJMKeaYavBQsJJ26B6F_7De2W2lw4&p=14&fvj=1&vjs=3,"Sheung Wan, Hong Kong Island",,"Analysis user data and provide insights for product and operation optimization;
Toby is Hong Kong's leading local services marketplace that helps user discover…"
45,BAH Partners,"Work directly with the founder and introduce greenfield data research initiatives
You will be the key person introducing a ""data-driven approach"" to the firm's investment researches
You will also derive investment ideas from their fundamental research
Opportunity to manipulate large datasets
The role will also involve organising and building out the data, testing the data and then back-testing the data to gain deeper insights into these companies
The other aspect of this role will he to help improve the firm’s ‘execution’ capabilities by analysing six years of historical data from their fund accounting partner
Truly unique and different, yet successful
This role does not involve any quant/ systematic trading strategies and would rather focus on fundamental research
By following a well-researched investment framework, this firm is able to deliver an average of 10% - 12% returns year-on-year since its inception
What you offer:
PhD./ Ms in Finance or related practices
Experience in data science/ research methods for investment analysis
Python/ programming skills for data manipulation is a plus
If you are interested in this position or would like to explore other opportunities, please send your detailed resume to justin.choi@bahpartners.com or call +852 2544-4822 for a confidential discussion.
BAH Partners is the leading supplier of the best banking and finance technology, FinTech and innovation technology talent for most of Hong Kong's top-tier financial institutions. For more opportunities, please visit our website at http://bahpartners.com/live-roles.",Researcher / Trade Data Scientist / Asset Management / Hong Kong,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9uW7t4haRcxbu3xc-qd0Hbu_uVgrGO2mEtr4Vwn8fEpJuqG-L5JaPR35_xXuY4EH-TjrynrJR8ZK6hAkqf3-4b-DX7fD_Ez672olSSzhwQr31rL5Dd_0rzv0p6UVTRaSLdDTrbPYPL8kUWjMVDld8HujQLQUWY0n_BnBfMlUk5l7CzadqRsxA2jj1FYZxb0Fd727IsOXXeHbd3e1ZQOJfO6bzz954eQbyMRzQ4UUvib76-KMAGKB2N6HgGPqF0Oq4dde08abdqBzgNyMFjRbK0TCb5nkVuj_VpA-6AaiUyliuoNWIkiF3BvWjOCc1isiqTqTtJcHVcxutgds-YdaTYuF7fN2yYg6fO0nkjlWOEe1SA8WiibiY4pbfwSV4ue0zbhgkYCQclfir5J7sTC_V80DhNpCiHwd-AuYMuacpZFDwHS5tDkP_y6UKffctgvay4tzA-btiV3qEuptDfuUBYdv7puGp-DgEyqVZCccGnF2GqLFTCVYAaq1i0giQV6okUMtQRCmkuF0lvueVVHWjmewLvsSYAMUjIyGpRHrFV03O29hHofvlvi_NoMgx-pJuSdGyOl3dRhx9o1SOkGuF09MDW6kVUq_RPQsOHjwImWoFLLiH40_iX6lc3kKYMvz83tvmQJVx4kqKByAoMlXjdlKd_so5NKXuwf4rN9_zLwEPKngyuqQU5mX2qpSYBrlILXvU_8GTpHe192wjmIcGbyHs9MpBdt6sg==&p=15&fvj=0&vjs=3,Hong Kong,,"Experience in data science/ research methods for investment analysis.
The role will also involve organising and building out the data, testing the data and then…"
46,SOCIETE GENERALE,"RESPONSIBILITIES
Help identify business cases, deliver prototype to quickly test if value can be generated.
Work with business and technology teams to design and supervise the implementation of data science and machine learning techniques in Asia.
Apply data-driven analysis to model quantitative relationships, extract informational value, and formulate forecasts and actionable conclusions.
Promote the emergence of a pool of junior data science talents, provide soft guidance and help in the optimal allocation of these talents to projects.
Contribute to the technology watch on data technologies; stay current with leading edge systems, methods, and best practices in the data science/machine learning fields and use such product and market knowledge to guide scoping discussions with business units.
PROFILE REQUIRED
Academic Background And Certifications, Experience
Master degree or PhD in a data-science or related field.
Strong interest of financial markets, econometrics and trading.
5+ years of experience using machine learning, performing data mining and statistical modeling.
Operational skills
Strong Python programming skills
Proven usage of Python statistical and machine learning libraries
Good knowledge of Hadoop ecosystem
Knowledge of object oriented languages (C#, Java) is a plus

Behavioral Skills
Ability to display a clear interpretation, communication, and presentation of results
Foster a collaborative open-minded environment
Genuinely curious and passionate about state of the art solutions
Responsible and courageous to speak up to highlight potential flaws in solution and predictive power
Strong creative thinking and problem-solving skills
Technological & digital savvy
Results oriented
Ability to cooperate
Thinking out of box
Being courageous
Simplification mindset
BUSINESS INSIGHT
Societe Generale is one of the leading European financial services groups. Founded in 1864, we have been playing a vital role in the economy for over 150 years. With more than 148,000 employees based in 76 countries worldwide, we accompany 32 million clients throughout the world on a daily basis. Based on a diversified universal banking model, the Group combines financial strength with a strategy of sustainable growth.
Department Description
SG Global Business Services Unit Data Office is a catalyst to foster the appropriation by the businesses of their data patrimony to transfrom their business model. Its mandate includes providing data expertise such as data science along with application development team to evaluate and deliver solutions. The Offensive Data setup team focuses on the following data driven use cases:
Prediction
Recommendation
Search
Reporting & Business Intelligence
Anomaly & Pattern Detection
Monitoring","VP, Data Scientist",https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9q-7wlKkIieoG85tHChHuoQbPl7EmTqqUi9z43Ng-GLraYwnjuGedPnkjoqczb_O7P5pQXKL806hksD9AUXx-I3TtDYuGAvkUFHF6O9iWiOuvWTy5WpIOKPkO-zRRuPS72G8alwmjCJdQi2fltUE7z_iEmV5-HGoGmPw03M4cnjYYQxAMsqCqTCRuxT5DcfZlZ3yV0Lo6bSC1kHSyUgfDg8iWw76WPSa7IukTDRSqN-7-MoqwdB2bZ_lg-hFsUilVzpwIw0o0zShQwXGKdEefm_6R2k9zlHbsJDPUiuRviZ6v6bMM09vh9bfCdSh3L05LxIE5x9HJUMwc_B0WTjsohBvDjspMP8E9pAKWjY7sd_CBvvew1B6bL8vMkeWXUvVSriy3pP3kit_6tMJ_g_MSxxQCIgTjzMi3nZOolQ_yUVV5ApO_lKy7087tztELPr1cf1vx9jd2YGqjFIruCwOoXUf35Bdi2mKdw086Nryt8uduVvzrt5-44PQFHIcOX8xHTIzT5KHfQDcfztm23HaSc8Zy1OtELLbitlAj1q7CppzcM1n2Yn5J45xpU1ICM13k84jPAe2yNOfuDJ1Op0AU-GgW1VI7NHMm-rkxghmMsiyhiuYMtPLVeHu5Tbmn8XaXTCu4VrNDULjYfgZgbdV307WX5pa7Z54RydeT1DdPfM2&p=16&fvj=0&vjs=3,Hong Kong,,"The Offensive Data setup team focuses on the following data driven use cases:
Its mandate includes providing data expertise such as data science along with…"
47,ConnectedGroup Limited,"Job functions:
Work closely with different business stakeholders to maintain and develop a centralised data warehouse for database management
Responsible for ETL programming development, data warehouse maintenance, data integration projects and etc
Oversee and manage the work-flow of data quality management, data cleansing and data exchanges processes by designing and implementing different rules and best practice
Write SQL, PL/SQL to run queries and support data analysis work
Job requirements:
Bachelor's degree holder in Statistics, Mathematics & Computer Science
Over 8 years' relevant working experience
Experience in banking and financial industry is preferred
Solid knowledge on database, modelling, data cleaning, transformation and warehousing
Good command in both Cantonese and English
Interested individuals can press apply now and please send your CV in WORD format. Feel free to contact Shirley Lam at +852 3972 6563 for more information.

For a more comprehensive list of our vacancies, please visit: www.connectedgroup.com",Data Engineer (Data Warehouse/ ETL/ Project) - Banking/ FS,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9q-7wlKkIieoG85tHChHuoSWRgIE52fC40jaxHcFf53M2qumrGbQTk-rV53opUYoM8XCA8hEJi2HT9lsXD8srce4RZARetGMR2qIFnjSSbx71PGItQA9ASWIG01RXWzxBc02ZddjhNsy335pXUnKNWEYuR9PWM-oR8wQydq7M7p3D39tJ3sKumnObpLOHeCN36ASelfwxlYL3RmaWwyhC3KjvZWbu5i9-HViyb4NjcWrIAxldwU08lYGS4EZ8YlkIpErcLIrK0ins-cReVOv6XUBLkOlnfJwMqi-ZWA-N1tHTfMYjvStHswpI3HqMyz6-t66mmu3Pc5c3hI3zXzLyKiqJdqEJim2w4qS1zAIZn0HSaDyiWieiSp2zp3HQiKvahuQ-RWdaqmu2GC6qU6uSrT9IGMumGVkX-Vkbq0beGh8XaAlygLAwfFlD3pmP7MbV3nk7brLdWZ62aBZKKWwOegcP7r7JKPl4LsjIvsC0c2LGPE_HN7Ume2w-RMIv6uxG5Jj6xG3gKjpEqZLMEBO_9esFbjnmimMTRXxvbVKPedLuHjKdpGZnB9HZt0jEbB2PgeT4tYQ8-iG6DvVeBsvFSSjjiKUCctnIW_ezvUXqzyv9_yk9Eh7JDhuM76SqZiBP7NHkL0mN0VJK6QbroiPusZ0T-DSOi7Bkyd7RFgZNtKVo6kTdDy0hRcBDozTVZFY-CLZUevL1HJTUXXWjQcHLSM=&p=17&fvj=0&vjs=3,Hong Kong,,"Write SQL, PL/SQL to run queries and support data analysis work.
Responsible for ETL programming development, data warehouse maintenance, data integration…"
48,Leadership Solutions Limited,"Founded in Hong Kong since 2003 to servebusinesses in Asia Pacific,including Greater China Region, Leadership Solutions offers a fully integrated suite of services in senior executive search andprofessional recruitment.
My clients are looking for various candidates who must have in-depth experience with any of the following jobs : System Analyst – Data/Analyst Programmer - Data Data Governance, Data Warehouse. ETL flow, Informatica ETL/Alteryx Qliksense), Cloud Senior/Junior Data Migration Software Engineer Data lake/ data migration projects,Testing Automation, SQL Server Azure, SSIS,SSAS, Python, Java or C# .NET Data Platform Architect Data governance and data platform solutions, API, Messaging queues, Informatica Suite (PowerCenter, EDC, AXON and IDQ) Azure or AWS, Hadoop, Python, Scala /or Java Data Engineer ETL tools.Informatica Suite (PowerCenter, EDC, AXON and IDQ) Azure or AWS, Hadoop, Python, Scala /or Java Solution Architect (AI, Data) Data Architect Role, AI Web application implementation, Cloud Node.js, IoT, Web / Frontend / multi-channel / API Data Engineer (junior) Report generation, visualization, Oracle and MsSQL. Data Architect Data solution design, architect, modeling. Ingestion, transformation, Visualization. e.g. Kafka, Elastic Search and Azure. Interested Parties can send in application with expected salary and notification period.
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time,Contract,Permanent","Data Scientist, Data Migration Engineer, Data engineer, etc.",https://hk.indeed.com/rc/clk?jk=9a2af960ad5b5621&fccid=4e06f2ea24fdeaee&vjs=3,Hong Kong,,"ETL flow, Informatica ETL/Alteryx Qliksense), Cloud Senior/Junior Data Migration Software Engineer Data lake/ data migration projects,Testing Automation, SQL…"
49,Dairy Farm,"The Job

Build and maintain effective working relationships with various business units to drive commercial excellence for sustainable and profitable growth via projects in process improvement, optimization and change management
Gather and analyse data, build statistical models and translate quantitative insights into strategic recommendations
Conduct commercial and financial reviews; provide advice and assurance to Group and line management on key strategic decisions and reduce financial and operational risks
Present actionable and easy-to-understand findings to leadership team on decision making


The Person

Bachelor or Master’s degree in Accounting/ Finance/ Mathematics/ Data Analytics or related discipline
1 to 3 years work experience in business or financial analysis is a plus
Outstanding analytical and quantitative skills with good commercial / business acumen
Excellent communication (verbal and written), interpersonal and presentation skills
A keen eye for detail and desire to probe further into data
Negotiation skills and the ability to develop strong working relationships
A good team player, willing to learn and have passion to deliver
Candidates with more work and team management experience will be considered for a senior analyst role


The Firm (Dairy Farm / Banner) is responsible for ensuring that all personal information collected from each Candidate presented to Dairy Farm is used for recruitment purposes only and the data collection process is in accordance with all applicable laws and compliant with the Code of Practice on Human Resource Management.",Financial Analyst,https://hk.indeed.com/rc/clk?jk=6837293f94d1d033&fccid=9ee391c71139a16a&vjs=3,"Quarry Bay, Hong Kong Island",,"A keen eye for detail and desire to probe further into data.
1 to 3 years work experience in business or financial analysis is a plus."
50,ImagineX,"Are you a passionate talent who can think out of the box to help driving the business with a new approach? ImagineX Group is a premier retail, brand management and distribution company. We build luxury, designer and premium contemporary fashion, beauty and lifestyle businesses with an entrepreneurial approach and the passion and flair of a brand owner.

We are now inviting a self-motivated, creative and talented Data Scientist to join our Beta Labs.


WHAT YOU WILL BE DOING?
Being the Data Scientist, the right candidate will
Mine, manipulate and perform statistical analysis on multiple data sets to build scalable enterprise analytics AI solutions
Identify what data is available and relevant, including internal and external data sources and collaborates with institute subject matter experts to select the best approach
Drive thought leadership in project and model approach from data acquisition to full production deployment
Makes strategic recommendations on data collection, integration and retention requirements incorporating business requirements and knowledge of best practices
Scope and define own work by researching and developing new content (Text & Computer Vision) that will drive large business impact opportunities
Work with cross-functional business partners throughout the organization to identify opportunities for leveraging company data to drive business solutions
Applies advanced statistical and predictive modeling techniques to build, maintain, and improve on multiple real-time decision systems
Generate and validate hypotheses with variety of testing methods (A/B, multi-variate, factorial design) to measure the impact of ongoing campaigns and retail initiatives
Communicate results and findings to key decision makers
Lead corporate scale analytics projects that has a large impact on the organization
Explore and research on best-in-class methodologies and latest technology trends
Work with data engineers on the design and deployment of enhancements and fixes to systems as needed


YOU NEED TO BE…
Bachelor’s / Master’s Degree holder in relevant field (i.e. Mathematics, Statistics, Physics, Computer Science, Engineering, Econometrics)
3-5 Years of work experience with big datasets and on large scale analytical projects
In-depth knowledge on programming language such as R, Python or SAS to manipulate data and draw insights from large data sets
Experience with data visualization tools/packs, such as D3.js, GGplot, Seaborn, Splunk, Power BI, etc
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, MySQL, etc
Must-have knowledge on a variety of machine learning techniques clustering, decision trees neural networks, Linear and Non-Linear Programming, Deep Learning (ANN, RNN, CNN) and their real-world advantages/drawbacks
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Adwords, Facebook Insights, etc.
Experience with merchandising and planning use cases is a plus
Familiarity with AWS or Microsoft Azure or Google Cloud platform
Working knowledge in NLP techniques such as topic modelling, named-entity recognition. semantic analysis, intent recognition, etc is a plus
Working knowledge in image processing techniques such as image segmentation, Feature Matching, Image classification, Edge and Contour Detection techniques, etc is a plus
Willing to be proactive in coming up with solutions and accustomed to a collaborative start-up team environment
Passionate about AI-related research and innovations
Experience in retail, loyalty, ecommerce, merchandising or consulting is preferred
Good command of written and spoken English and Cantonese

Information provided will be treated in strict confidence and only be used for recruitment purpose. The Company may refer suitable applicants to other vacancies within the associated Group of companies",Data Scientist,https://hk.indeed.com/rc/clk?jk=32d2c17c4f4911ac&fccid=79a5a44541d5f463&vjs=3,Hong Kong,,"Being the Data Scientist, the right candidate will.
We are now inviting a self-motivated, creative and talented Data Scientist to join our Beta Labs."
